,reward
456,-93.6
457,-131.6
458,-131.6
459,-131.6
460,-115.2
461,-131.6
462,-88.8
463,-131.6
464,-131.6
465,-94.0
466,-136.4
467,-131.6
468,-118.8
469,-78.0
470,-92.4
471,-110.0
472,-131.6
473,-131.6
474,-145.2
475,-122.4
476,-84.8
477,-131.6
478,-144.8
479,-160.4
480,-77.2
481,-131.6
482,-88.8
483,-107.2
484,-118.0
485,-116.0
486,-93.6
487,-131.6
488,-112.8
489,-131.6
490,-131.6
491,-131.6
492,-81.2
493,-131.6
494,-131.6
495,-122.4
496,-127.2
497,-90.8
498,-114.4
499,-105.2
500,-127.2
501,-107.6
502,-61.2
503,-110.8
504,-112.8
505,-118.0
506,-131.6
507,-98.0
508,-131.6
509,-108.0
510,-131.6
511,-70.0
512,-78.8
513,-118.4
514,-131.6
515,-131.6
516,-131.6
517,-144.4
518,-121.6
519,-122.4
520,-88.8
521,-131.6
522,-88.8
523,-103.2
524,-80.0
525,-81.2
526,-126.0
527,-150.4
528,-131.6
529,-93.6
530,-131.6
531,-91.6
532,-138.4
533,-131.6
534,-127.2
535,-131.6
536,-93.6
537,-145.2
538,-131.6
539,-140.0
540,-107.2
541,-114.0
542,-124.0
543,-131.6
544,-135.6
545,-94.0
546,-118.0
547,-131.6
548,-142.0
549,-131.6
550,-138.4
551,-126.8
552,-82.0
553,-44.8
554,-122.8
555,-115.6
556,-112.8
557,-136.0
558,-131.6
559,-131.6
560,-72.8
561,-131.6
562,-136.8
563,-131.6
564,-81.6
565,-123.2
566,-131.6
567,-43.6
568,-98.4
569,-131.6
570,-131.6
571,-128.8
572,-123.2
573,-131.6
574,-131.6
575,-109.2
576,-131.6
577,-109.6
578,-75.6
579,-92.4
580,-109.6
581,-119.6
582,-93.6
583,-118.8
584,-145.6
585,-131.6
586,-131.6
587,-122.4
588,-131.6
589,-123.2
590,-96.0
591,-131.6
592,-126.8
593,-133.6
594,-112.8
595,-93.6
596,-140.0
597,-62.4
598,-131.6
599,-102.4
600,-74.8
601,-127.2
602,-113.6
603,-131.6
604,-127.2
605,-122.4
606,-131.6
607,-105.2
608,-150.0
609,-18.8
610,-88.8
611,-131.6
612,-107.2
613,-122.4
614,-131.6
615,-114.0
616,-114.4
