,reward
0,6.0
1,5.5
2,5.5
3,6.0
4,5.5
5,4.6
6,6.0
7,5.5
8,6.0
9,5.5
10,6.0
11,6.0
12,5.0
13,5.5
14,6.0
15,0.4
16,5.5
17,6.0
18,6.0
19,6.0
20,6.0
21,5.0
22,6.0
23,5.5
24,1.8
25,-0.3
26,6.0
27,6.0
28,6.0
29,6.0
30,6.0
31,6.0
32,4.6
33,5.5
34,6.0
35,5.0
36,6.0
37,8.5
38,6.5
39,6.0
40,6.0
41,5.5
42,6.0
43,6.0
44,-1.0
45,-1.0
46,-1.0
47,-1.0
48,-1.0
49,-1.0
50,-1.0
51,6.0
52,6.0
53,1.8
54,6.0
55,6.0
56,5.7
57,6.0
58,5.5
59,5.5
60,6.0
61,5.5
62,6.0
63,2.5
64,6.0
65,6.0
66,6.0
67,1.1
68,5.5
69,6.0
70,5.5
71,1.8
72,1.1
73,5.5
74,2.0
75,5.0
76,6.0
77,6.0
78,6.0
79,5.3
80,6.0
81,6.0
82,4.6
83,6.0
84,6.0
85,6.0
86,5.5
87,6.0
88,6.0
89,4.1
90,6.0
91,5.5
92,5.0
93,3.9
94,6.0
95,6.0
96,6.0
97,6.0
98,1.1
99,6.0
100,6.0
101,5.3
102,6.0
103,5.7
104,5.5
105,2.9
106,5.5
107,6.0
108,6.0
109,13.0
110,6.0
111,3.9
112,6.0
113,6.0
114,5.0
115,-0.3
116,3.2
117,5.5
118,5.5
119,6.0
120,6.0
121,5.5
122,6.0
123,5.5
124,6.0
125,6.0
126,0.4
127,5.7
128,6.5
129,4.1
130,6.0
131,6.0
132,6.0
133,1.8
134,0.4
135,6.0
136,6.0
137,-0.3
138,5.5
139,6.0
140,5.0
141,5.7
142,6.0
143,6.0
144,6.0
145,6.0
146,5.5
147,3.2
148,6.0
149,6.0
150,-0.3
151,6.0
152,6.0
153,5.5
154,6.0
155,6.0
156,6.0
157,6.0
158,6.2
159,6.0
160,5.5
161,6.0
162,5.3
163,6.0
164,5.5
165,5.5
166,6.0
167,6.0
168,6.0
169,6.0
170,2.5
171,6.0
172,6.0
173,2.5
174,6.0
175,1.1
176,5.5
177,5.5
178,6.0
179,5.5
180,5.5
181,6.0
182,6.0
183,5.5
184,6.0
185,1.5
186,6.0
187,6.0
188,6.0
189,6.0
190,6.0
191,6.7
192,1.1
193,6.0
194,6.0
195,6.0
196,6.0
197,6.0
198,6.0
199,6.0
200,1.8
201,5.5
202,1.8
203,5.7
204,6.0
205,0.4
206,6.0
207,6.0
208,5.5
209,6.0
210,6.0
211,6.0
212,2.5
213,6.0
214,5.5
215,0.4
216,6.0
217,6.0
218,5.5
219,6.0
220,6.0
221,6.0
222,6.0
223,3.2
224,5.5
225,6.0
226,6.0
227,-0.8
228,6.0
229,5.2
230,5.2
231,5.5
232,4.8
233,6.0
234,6.0
235,6.0
236,6.0
237,5.3
238,6.0
239,5.5
240,6.0
241,5.5
242,6.0
243,5.5
244,6.0
245,5.0
246,6.0
247,5.5
248,6.7
249,1.1
250,6.0
251,2.0
252,6.0
253,6.0
254,6.0
255,6.0
256,-0.3
257,5.3
258,6.0
259,6.0
260,0.4
261,6.0
262,6.0
263,6.0
264,6.0
265,6.0
266,5.3
267,6.0
268,5.5
269,5.5
270,6.0
271,0.8
272,4.6
273,5.5
274,5.5
275,6.0
276,6.0
277,5.2
278,6.0
279,3.2
280,1.1
281,5.5
282,6.0
283,5.5
284,6.0
285,6.0
286,6.0
287,5.5
288,6.0
289,6.0
290,6.0
291,5.5
292,6.0
293,-0.3
294,3.9
295,6.0
296,5.5
297,6.0
298,6.0
299,6.0
300,6.0
301,6.0
302,1.8
303,5.5
304,5.5
305,6.0
306,6.0
307,-0.8
308,6.0
309,-1.0
310,6.0
311,6.0
312,6.0
313,5.3
314,6.0
315,6.0
316,2.5
317,6.0
318,6.0
319,1.1
320,-1.0
321,6.0
322,5.7
323,5.5
324,6.0
325,3.6
326,-0.3
327,6.0
328,6.0
329,5.0
330,5.2
331,6.0
332,6.0
333,6.0
334,6.0
335,5.5
336,3.2
337,6.0
338,6.0
339,3.0
340,3.9
341,-0.8
342,6.0
343,1.8
344,6.0
345,6.0
346,6.0
347,-0.8
348,6.0
349,6.0
350,6.0
351,5.5
352,5.5
353,6.0
354,1.1
355,5.5
356,-0.3
357,5.5
358,6.0
359,4.6
360,5.5
361,5.5
